image_id,integrated_intensity
1,0.20902605263491866
2,0.2090011993385762
3,0.20910362957549253
4,0.20910569028019135
5,0.20912247734518602
6,0.20907617843253934
7,0.209077445626477
8,0.2091242603619892
9,0.20910511926052627
10,0.20902863231870866
11,0.2091243038570181
12,0.20913756678662263
13,0.20909235728494488
14,0.20902896984262398
15,0.2091562408369975
16,0.2090369176186454
17,0.20916865642996382
18,0.20904312143774603
19,0.20913351109074615
20,0.2091965895054387
21,0.20925113698049297
22,0.20921984328301108
23,0.20918247562046896
24,0.20924302603017267
25,0.2092661582143946
26,0.20925885862749377
27,0.20924199582667116
28,0.20928780126284935
29,0.2092844119101879
30,0.20927548657834896
31,0.20928744890923598
32,0.2093291027439343
33,0.2092831480254378
34,0.20933643468856794
35,0.20930654601464851
36,0.20930455782348023
37,0.20933844004213398
38,0.20935305993697217
39,0.2093153795132606
40,0.20935320376551997
41,0.20935983416401485
42,0.2093532218237485
43,0.20935449495215822
44,0.20940517363629307
45,0.20939061440910378
46,0.20941039469887235
47,0.20938423688489613
48,0.209428871662414
49,0.20941484762939752
50,0.20942164806877087
51,0.20942666746451166
52,0.2094247648321412
53,0.20944578309651282
54,0.2094428848853766
55,0.20944172055786722
56,0.2094515484407213
57,0.20942424145268446
58,0.20948869194654074
59,0.20947265938864817
60,0.20943984447728559
61,0.2094242894823411
62,0.20947250653908947
63,0.2094959564469529
64,0.20947546927134203
65,0.20949748790853165
66,0.20956407696530704
67,0.2095109255993911
68,0.20948756334803437
69,0.20951358163073192
70,0.20949596905652212
71,0.20952213220758373
72,0.20952700315251074
73,0.20955218933491923
74,0.2095853600817412
75,0.20960902931076245
76,0.20959024127947726
77,0.20956007501452575
78,0.20955974857130866
79,0.20955667907989114
80,0.20957978085636295
81,0.20954219435797805
82,0.20961852529800024
83,0.2096362193086411
84,0.20960563117108325
85,0.20961494817571696
86,0.20962330365935183
87,0.20959256761239253
88,0.20962070139479783
89,0.20966749686272296
90,0.20966694863998803
91,0.20963991152507797
92,0.209700404737884
93,0.20966153621785796
94,0.20965859281639637
95,0.209704743662691
96,0.20967651644014834
97,0.20968741092282972
98,0.20974978566923955
99,0.20967044368332519
100,0.20969749609679159
101,0.20974725812375936
102,0.20974488395366797
103,0.20968576783360998
104,0.2097466888591045
